n,orig,dedup_stored,dedup_ratio,zstd_stored,zstd_ratio,unique_nodes,avg_reuse,dict_stored,dict_ratio
1,2349,1712,1.3720794392523366,1294,1.8153013910355487,4,1.0,131249,0.017897279217365464
2,4723,2055,2.2982968369829684,2593,1.8214423447743926,5,1.6,131406,0.03594204222029435
5,9786,2847,3.4373024236037937,5407,1.8098760865544665,8,2.0,131762,0.07427027519315128
10,17665,4760,3.7111344537815127,9765,1.8090117767537122,15,1.9333333333333333,132729,0.13309073375072517
25,42938,9254,4.639939485627837,23871,1.7987516233086172,31,2.2903225806451615,135543,0.316785079273736
50,81835,17529,4.668549261224257,45655,1.7924652283430074,58,2.3793103448275863,142051,0.5760959092157042
100,157261,29245,5.377363651906308,88330,1.7803803917128949,87,3.1149425287356323,155016,1.0144823760127988
